Product Name,Price,Images
Xiaomi Notebook Pro 15.6 inch Core i5 8GB RAM 256GB SSD GTX 1050 Max-Q - Abu-abu,Rp14.990.000,"<img alt=""Xiaomi Notebook Pro 15.6 inch Core i5 8GB RAM 256GB SSD GTX 1050 Max-Q - Abu-abu"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/9/4/11879544/11879544_76e020bd-a725-4a5c-ab2f-b4043b20ea07_1080_1080.webp"" title=""""/>"
Laptop Gaming Lenovo Thinkpad E550 RAM 8GB - SSD - VGA 2GB MURAH - SSD 128GB,Rp4.850.000,"<img alt=""Laptop Gaming Lenovo Thinkpad E550 RAM 8GB - SSD - VGA 2GB MURAH - SSD 128GB"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/1/cf4b605c-870a-466f-90e5-48fa9dcfbdeb.jpg.webp"" title=""""/>"
Laptop Dell 6510 Core i7 - VGA NVDIA - Super murah - Beragaransi,Rp2.849.000,"<img alt=""Laptop Dell 6510 Core i7 - VGA NVDIA - Super murah - Beragaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/f0482908-2c7f-4141-9a19-2fad496d6290.jpg.webp"" title=""""/>"
laptop toshiba satelit l310 dual core ram 2gn hdd 320gb,Rp730.000,"<img alt=""laptop toshiba satelit l310 dual core ram 2gn hdd 320gb"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/65b14383-4e46-4219-b866-d88ff08f9a13.jpg.webp"" title=""""/>"
LAPTOP LENOVO THINKPAD YOGA 12 TOUCHSCREEN-CORE I5 GEN 5-8GB-256GB,Rp5.899.000,"<img alt=""LAPTOP LENOVO THINKPAD YOGA 12 TOUCHSCREEN-CORE I5 GEN 5-8GB-256GB"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/7/a672c653-7233-4eae-90fe-3fe7e1399171.jpg.webp"" title=""""/>"
Laptop Hp 8440p Core i5 - Super murah - Bergaransi,Rp2.399.000,"<img alt=""Laptop Hp 8440p Core i5 - Super murah - Bergaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/cd102d41-3c3d-4400-b3bc-6e652b1c500d.jpg.webp"" title=""""/>"
Laptop Dell 6410 Core i5 - Super murah - Bergaransi,Rp2.299.000,"<img alt=""Laptop Dell 6410 Core i5 - Super murah - Bergaransi"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/0510561d-d23a-4f3e-b292-308f98f76a40.jpg.webp"" title=""""/>"
"LAPTOP ASUS X441BA - AMD A4 9125 4GB 1TB VGA AMD R3 14"" WIN10 RESMI",Rp5.149.000,"<img alt='LAPTOP ASUS X441BA - AMD A4 9125 4GB 1TB VGA AMD R3 14"" WIN10 RESMI' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/attachment/2020/12/8/31451292/31451292_09b8a1c0-d4f0-418d-82eb-5c66855e2f34.jpg.webp"" title=""""/>"
"LAPTOP MURAH ASUS E402YA-GA202T - AMD E2-7015U RAM 4GB 1TB 14"" WIN10",Rp4.799.000,"<img alt='LAPTOP MURAH ASUS E402YA-GA202T - AMD E2-7015U RAM 4GB 1TB 14"" WIN10' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/4/8/69830966/69830966_afb815c9-e48e-4e0f-921a-bcdbb6349222_746_746.webp"" title=""""/>"
Laptop HP 14S-CF2017TU SILVER CELERON 4GB 1TB WIN10+OHS 2019 Murah,Rp5.199.000,"<img alt=""Laptop HP 14S-CF2017TU SILVER CELERON 4GB 1TB WIN10+OHS 2019 Murah"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/7/28/573054/573054_e56af653-d86f-4d42-8c46-54fa458dddcb_700_700.webp"" title=""""/>"
